country;year;uneducated;primary;secondary;tertiary;years of education total;years education primary;years education secondary;years education tertiary;population in thousands;region
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Austria;1870;63;35,3;1,2;0,6;2,27;2,15;0,1;0,02;12414;Advanced Economies
;1875;61,1;36,7;1,5;0,7;2,4;2,25;0,13;0,02;12775;Advanced Economies
;1880;58,8;38,5;1,9;0,8;2,56;2,38;0,16;0,02;13645;Advanced Economies
;1885;55,5;41,2;2,3;0,9;2,74;2,53;0,19;0,03;13843;Advanced Economies
;1890;51,6;44,6;2,8;1,1;3,04;2,78;0,22;0,03;14572;Advanced Economies
;1895;47,2;48,3;3,3;1,2;3,36;3,07;0,26;0,03;14989;Advanced Economies
;1900;42,7;52,1;3,9;1,3;3,7;3,36;0,3;0,04;15854;Advanced Economies
;1905;38,5;55,6;4,3;1,5;4,03;3,65;0,34;0,04;16184;Advanced Economies
;1910;34,2;59,3;4,8;1,8;4,38;3,94;0,38;0,05;16676;Advanced Economies
;1915;29,8;63,1;5,3;1,7;4,71;4,25;0,41;0,05;18216;Advanced Economies
;1920;25,5;67,2;5,8;1,5;5,03;4,56;0,42;0,04;4290;Advanced Economies
;1925;20,2;72,3;5,2;2,4;5,47;4,94;0,47;0,07;4485;Advanced Economies
;1930;15,7;75,9;6;2,4;5,86;5,27;0,52;0,07;4583;Advanced Economies
;1935;11,5;79,7;5,8;3;6,25;5,6;0,56;0,09;4615;Advanced Economies
;1940;7,8;84,3;5,5;2,4;6,16;5,59;0,5;0,07;4560;Advanced Economies
;1945;4,7;88,1;4,9;2,3;5,96;5,43;0,46;0,07;4590;Advanced Economies
;1950;2,4;91,1;4,5;2;5,89;5,4;0,43;0,07;4635;Advanced Economies
;1955;2,1;91;4,9;2;5,64;5,12;0,45;0,07;4617;Advanced Economies
;1960;1,8;86;10;2,2;5,67;4,84;0,76;0,07;4640;Advanced Economies
;1965;2,6;69,2;25,8;2,4;6,54;4,68;1,78;0,08;4614;Advanced Economies
;1970;2,5;55;39,8;2,7;7,26;4,48;2,69;0,09;4596;Advanced Economies
;1975;0,9;50,5;45,6;2,9;7,44;4,22;3,12;0,09;4691;Advanced Economies
;1980;0,1;45,8;51,3;2,8;7,6;3,98;3,53;0,09;4844;Advanced Economies
;1985;0,5;41,3;53,6;4,6;7,84;3,78;3,91;0,15;5115;Advanced Economies
;1990;1,1;35,8;57,5;5,5;8,26;3,79;4,29;0,18;5227;Advanced Economies
;1995;1,6;29,2;59,2;9,9;8,93;3,81;4,8;0,31;5417;Advanced Economies
;2000;1,6;25,2;59,8;13,3;9,43;3,83;5,17;0,43;5493;Advanced Economies
;2005;1,6;21,3;61,9;15,1;9,89;3,85;5,53;0,5;5551;Advanced Economies
;2010;1,6;19,3;62,7;16,4;10,13;3,87;5,72;0,54;5577;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Belgium;1870;44,2;53,1;2,5;0,3;2,43;2,31;0,11;0,01;3116;Advanced Economies
;1875;47,2;48,9;3,6;0,4;2,39;2,22;0,15;0,01;3207;Advanced Economies
;1880;45,1;49,8;4,7;0,5;2,56;2,35;0,2;0,01;3316;Advanced Economies
;1885;43,8;50,8;5;0,6;2,65;2,42;0,21;0,02;3542;Advanced Economies
;1890;45;49,2;5,2;0,6;2,64;2,39;0,23;0,02;3690;Advanced Economies
;1895;44,1;50,8;4,4;0,7;2,65;2,43;0,2;0,02;3952;Advanced Economies
;1900;42,5;53,9;2,9;0,7;2,66;2,5;0,15;0,02;4181;Advanced Economies
;1905;40,1;56,6;2,5;0,7;2,77;2,62;0,14;0,02;4483;Advanced Economies
;1910;33,8;62,6;2,8;0,8;3,09;2,92;0,15;0,02;4662;Advanced Economies
;1915;31,5;64,4;3,2;0,9;3,26;3,06;0,17;0,02;5090;Advanced Economies
;1920;29,5;64,6;4,8;1,1;3,48;3,21;0,24;0,03;5066;Advanced Economies
;1925;26,3;66,2;6,2;1,2;3,75;3,42;0,3;0,03;5342;Advanced Economies
;1930;21,8;66,1;10,5;1,6;4,27;3,73;0,49;0,05;5616;Advanced Economies
;1935;18,1;66,7;13,3;1,9;4,65;3,98;0,61;0,06;5837;Advanced Economies
;1940;12,3;68,8;16,6;2,3;5,17;4,33;0,76;0,07;5696;Advanced Economies
;1945;6,1;68,3;22,3;3,3;5,93;4,78;1,04;0,11;2681;Advanced Economies
;1950;2,7;65,8;27,9;3,5;6,85;5,45;1,28;0,12;5879;Advanced Economies
;1955;2,2;63,2;30,5;4;7,17;5,62;1,4;0,14;5913;Advanced Economies
;1960;1,8;59,6;33,6;5;7,4;5,63;1,59;0,18;5905;Advanced Economies
;1965;1,2;56,7;36,1;6;7,56;5,59;1,75;0,22;6008;Advanced Economies
;1970;1,2;51,4;39,7;7,6;7,98;5,64;2,07;0,28;6086;Advanced Economies
;1975;2,5;42,2;44,6;10,7;8,39;5,55;2,45;0,39;6260;Advanced Economies
;1980;3,6;33,5;49,1;13,8;8,93;5,56;2,89;0,49;6467;Advanced Economies
;1985;4,2;26,6;52,1;17,1;9,41;5,55;3,27;0,6;6642;Advanced Economies
;1990;4,2;20;54,9;20,8;10;5,6;3,69;0,71;6674;Advanced Economies
;1995;3,8;15,2;56,5;24,4;10,64;5,65;4,16;0,82;6704;Advanced Economies
;2000;3,2;10,6;60,3;26;10,95;5,72;4,37;0,87;6765;Advanced Economies
;2005;4,2;9,7;58,1;28;11,11;5,66;4,51;0,94;6838;Advanced Economies
;2010;3,9;8,7;56,7;30,6;11,29;5,68;4,59;1,03;6937;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Canada;1870;29,7;67,8;2,5;0;2,68;2,59;0,09;0;2021;Advanced Economies
;1875;27,4;69,6;3;0;2,81;2,7;0,1;0;2279;Advanced Economies
;1880;24,9;71,7;3,4;0;2,94;2,83;0,11;0;2471;Advanced Economies
;1885;22,7;73,7;3,3;0,3;3,05;2,91;0,13;0,01;2713;Advanced Economies
;1890;20,9;75,2;3,4;0,5;3,18;3,02;0,15;0,01;2856;Advanced Economies
;1895;18,7;76,9;3,8;0,7;3,35;3,16;0,17;0,02;3073;Advanced Economies
;1900;15,8;72,6;9,5;2,1;3,99;3,46;0,46;0,06;3150;Advanced Economies
;1905;14,1;70,7;12,4;2,8;4,34;3,64;0,62;0,08;3767;Advanced Economies
;1910;13,4;64,5;19,4;2,8;4,83;3,85;0,89;0,08;4496;Advanced Economies
;1915;11,5;63,2;21,8;3,6;5,18;4,03;1,04;0,11;5045;Advanced Economies
;1920;9,1;63,1;23,6;4,3;5,54;4,23;1,18;0,13;5345;Advanced Economies
;1925;6,9;62,3;25,7;5,1;5,92;4,43;1,33;0,16;6044;Advanced Economies
;1930;5,3;59,3;29,5;5,9;6,35;4,62;1,55;0,18;7418;Advanced Economies
;1935;3,7;55,3;34,5;6,6;6,85;4,84;1,81;0,2;7312;Advanced Economies
;1940;2,9;52,8;37,5;6,9;7,14;4,97;1,96;0,21;7542;Advanced Economies
;1945;2,1;50,5;39,2;8,1;7,46;5,09;2,13;0,25;7950;Advanced Economies
;1950;1,6;48,2;41,3;8,9;7,76;5,2;2,28;0,27;8606;Advanced Economies
;1955;1,3;45,1;42,3;11,3;8,11;5,28;2,48;0,35;9466;Advanced Economies
;1960;1;40,6;44,4;14;8,55;5,39;2,73;0,43;10559;Advanced Economies
;1965;1;35,7;47,4;16;8,85;5,47;2,9;0,49;11600;Advanced Economies
;1970;0,6;28,1;51,1;20,2;9,47;5,57;3,29;0,61;13463;Advanced Economies
;1975;0,9;20,5;53,9;24,6;10,02;5,59;3,67;0,76;15127;Advanced Economies
;1980;1;15,4;55,8;27,8;10,49;5,67;3,96;0,86;16637;Advanced Economies
;1985;0,6;12,7;66,9;19,8;10,29;5,74;3,98;0,57;17689;Advanced Economies
;1990;0,5;9,5;67,4;22,6;10,71;5,8;4,24;0,67;18847;Advanced Economies
;1995;0,6;7,4;65,6;26,4;11,11;5,83;4,49;0,79;19820;Advanced Economies
;2000;0,5;5,3;65,8;28,4;11,39;5,87;4,64;0,87;20961;Advanced Economies
;2005;0,5;2,8;53,7;42,9;12,49;5,92;5,23;1,34;22350;Advanced Economies
;2010;0,5;2,1;51;46,3;12,74;5,93;5,36;1,45;23505;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Denmark;1870;13,9;83,8;2,3;0;2,45;2,35;0,11;0;1085;Advanced Economies
;1875;12,9;84,6;2,4;0;2,5;2,39;0,11;0;1192;Advanced Economies
;1880;12;85,4;2,6;0,1;2,56;2,43;0,12;0;1182;Advanced Economies
;1885;10,9;86,1;3;0,1;2,63;2,48;0,14;0;1293;Advanced Economies
;1890;9,7;86,8;3,4;0,1;2,71;2,54;0,16;0;1263;Advanced Economies
;1895;8,7;87,5;3,7;0,1;2,78;2,59;0,18;0;1410;Advanced Economies
;1900;7,8;88,2;3,9;0,1;2,84;2,65;0,19;0;1451;Advanced Economies
;1905;7;88,8;4,1;0,1;2,91;2,7;0,21;0;1614;Advanced Economies
;1910;6;86,3;7,6;0,1;3,17;2,79;0,38;0;1643;Advanced Economies
;1915;5,1;84,5;10,3;0,2;3,39;2,88;0,51;0;1859;Advanced Economies
;1920;4,3;82,3;13,3;0,2;3,64;2,97;0,67;0;2018;Advanced Economies
;1925;3,6;79,2;16,9;0,3;3,93;3,06;0,86;0,01;2179;Advanced Economies
;1930;2,9;76;20,1;1;4,26;3,15;1,08;0,03;2312;Advanced Economies
;1935;2,4;72,7;23,3;1,6;4,59;3,24;1,31;0,05;2483;Advanced Economies
;1940;2;69,6;26,2;2,2;4,89;3,32;1,51;0,06;2621;Advanced Economies
;1945;2,6;62,5;32,2;2,8;5,34;3,37;1,88;0,08;2678;Advanced Economies
;1950;2,4;57,9;36,3;3,3;5,63;3,47;2,05;0,11;2757;Advanced Economies
;1955;2,9;73,9;17,7;5,4;4,78;3,34;1,27;0,17;2828;Advanced Economies
;1960;2,8;65,7;25,2;6,3;5,3;3,4;1,69;0,2;2940;Advanced Economies
;1965;2,5;55,3;34;8,2;6,06;3,52;2,29;0,25;3087;Advanced Economies
;1970;1,4;45,8;41,6;11,2;7,19;4;2,85;0,34;3176;Advanced Economies
;1975;1,8;36,3;49,6;12,2;8,01;4,37;3,26;0,38;3240;Advanced Economies
;1980;2,3;27,7;56;14,1;8,85;4,74;3,67;0,44;3318;Advanced Economies
;1985;2,5;22,3;57,2;18;9,59;5,07;3,95;0,57;3399;Advanced Economies
;1990;0,1;14,9;67,7;17,2;10,48;5,45;4,46;0,57;3463;Advanced Economies
;1995;0,1;9,9;70,5;19,4;11,04;5,66;4,75;0,64;3521;Advanced Economies
;2000;1,3;4,8;70,8;23,1;11,5;5,77;4,99;0,75;3560;Advanced Economies
;2005;2,4;2,2;68,6;26,8;11,81;5,88;5,05;0,88;3593;Advanced Economies
;2010;2,9;0,8;69;27,3;11,97;6,04;5,03;0,91;3612;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Finland;1870;96,3;3,4;0,2;0,2;0,13;0,1;0,02;0;1099;Advanced Economies
;1875;95,5;4,1;0,2;0,2;0,16;0,13;0,02;0;1207;Advanced Economies
;1880;94,6;4,9;0,3;0,2;0,19;0,15;0,03;0;1261;Advanced Economies
;1885;93,3;6,1;0,3;0,3;0,23;0,19;0,04;0,01;1323;Advanced Economies
;1890;91,3;7,9;0,4;0,3;0,3;0,25;0,05;0,01;1409;Advanced Economies
;1895;88,9;10,2;0,6;0,4;0,39;0,33;0,06;0,01;1484;Advanced Economies
;1900;63,7;34,6;1,1;0,6;1,16;1,05;0,1;0,01;1635;Advanced Economies
;1905;51,8;46;1,5;0,7;1,55;1,4;0,13;0,02;1662;Advanced Economies
;1910;48,8;49,3;1,1;0,8;1,63;1,49;0,12;0,02;1872;Advanced Economies
;1915;38,9;58,6;1,5;1;1,98;1,8;0,16;0,03;1936;Advanced Economies
;1920;28,5;68,5;1,8;1,2;2,35;2,14;0,18;0,03;2403;Advanced Economies
;1925;18;78,4;2,2;1,4;2,74;2,49;0,22;0,04;2111;Advanced Economies
;1930;9,8;85,9;2,8;1,6;3,09;2,79;0,26;0,04;2097;Advanced Economies
;1935;3,7;90,6;3,8;1,8;3,4;3,02;0,33;0,05;2307;Advanced Economies
;1940;2,8;91,1;4;2,1;3,52;3,1;0,36;0,06;2469;Advanced Economies
;1945;2,1;90,6;4,4;2,8;3,68;3,16;0,44;0,08;2449;Advanced Economies
;1950;1,5;89,5;5,9;3,1;3,91;3,28;0,53;0,09;2540;Advanced Economies
;1955;0,9;88,6;6,8;3,7;4,06;3,33;0,62;0,11;2646;Advanced Economies
;1960;0,5;87;8,1;4,5;4,25;3,37;0,75;0,13;2764;Advanced Economies
;1965;0,7;76;17,9;5,4;4,97;3,49;1,32;0,16;2968;Advanced Economies
;1970;1,1;64,1;27,3;7,5;5,99;3,84;1,93;0,22;3051;Advanced Economies
;1975;1,2;56,5;32,5;9,9;7,11;4,12;2,68;0,3;3174;Advanced Economies
;1980;1;48,4;38,9;11,7;8,04;4,4;3,28;0,36;3237;Advanced Economies
;1985;0,8;48,1;38,6;12,5;8,01;4,6;3,02;0,39;3339;Advanced Economies
;1990;0,1;43;42,5;14,4;8,56;4,84;3,27;0,44;3357;Advanced Economies
;1995;0,3;37,8;39,7;22,3;9,31;5,07;3,57;0,67;3410;Advanced Economies
;2000;0,3;32,6;41;26,1;9,9;5,26;3,86;0,78;3465;Advanced Economies
;2005;0,3;27,6;43,4;28,7;10,42;5,46;4,12;0,84;3508;Advanced Economies
;2010;0,3;24,9;45;29,8;10,71;5,64;4,21;0,85;3539;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
France;1870;78,4;21,3;0,1;0,2;0,7;0,68;0,02;0,01;23656;Advanced Economies
;1875;75;24,7;0,2;0,2;0,81;0,78;0,02;0,01;24066;Advanced Economies
;1880;62,7;37;0,2;0,3;1,2;1,17;0,03;0,01;24374;Advanced Economies
;1885;53,3;45,5;1;0,3;1,55;1,47;0,07;0,01;24653;Advanced Economies
;1890;43,8;55,6;0,4;0,3;1,8;1,75;0,04;0,01;24967;Advanced Economies
;1895;35,3;63,9;0,6;0,3;2,09;2,03;0,05;0,01;25127;Advanced Economies
;1900;27,9;71,1;0,8;0,3;2,35;2,28;0,06;0,01;25344;Advanced Economies
;1905;20,7;77,5;1,4;0,4;2,65;2,54;0,1;0,01;26952;Advanced Economies
;1910;14,1;83,4;2,1;0,6;2,95;2,8;0,14;0,02;25879;Advanced Economies
;1915;8,5;88,7;2,4;0,5;3,21;3,04;0,15;0,01;27749;Advanced Economies
;1920;3,3;93,6;2,6;0,6;3,45;3,27;0,17;0,02;26515;Advanced Economies
;1925;0,7;95;3,6;0,7;3,66;3,42;0,22;0,02;27511;Advanced Economies
;1930;0,3;94,3;4,6;0,8;3,79;3,48;0,28;0,03;27984;Advanced Economies
;1935;0,4;93,1;5,6;1;3,94;3,56;0,34;0,03;26998;Advanced Economies
;1940;0,4;91,7;6,7;1,2;4,11;3,66;0,41;0,04;27420;Advanced Economies
;1945;0,4;90,1;8;1,5;4,27;3,74;0,49;0,05;27090;Advanced Economies
;1950;0,3;88,7;9,3;1,7;4,42;3,8;0,56;0,05;27568;Advanced Economies
;1955;0,3;87,2;10,5;2;4,56;3,86;0,64;0,06;27786;Advanced Economies
;1960;0,3;89,1;8,3;2,4;4,32;3,65;0,59;0,08;28320;Advanced Economies
;1965;1,1;83,5;11,3;4,1;4,78;3,79;0,87;0,12;30369;Advanced Economies
;1970;1,1;75,6;17;6,3;5,46;3,97;1,31;0,18;31635;Advanced Economies
;1975;1;67,4;23,2;8,5;6,05;4,05;1,75;0,25;33003;Advanced Economies
;1980;0,8;62,6;27,8;8,8;6,37;4,08;2,04;0,26;34351;Advanced Economies
;1985;5;46,6;37,4;10,9;7,37;4,21;2,84;0,32;36403;Advanced Economies
;1990;5,9;35,1;45,4;13,6;8,32;4,37;3,56;0,39;37313;Advanced Economies
;1995;3,3;27,4;52,3;16,9;9,36;4,63;4,25;0,48;37893;Advanced Economies
;2000;1,8;19,8;58,3;20,2;10,22;4,8;4,85;0,58;38560;Advanced Economies
;2005;1,2;11,8;65,3;21,7;10,86;4,89;5,34;0,63;39454;Advanced Economies
;2010;1,2;8,5;64;26,3;11,34;4,92;5,66;0,76;40070;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Germany;1870;65,5;27,4;6,8;0,3;2,22;2,04;0,17;0,01;24858;Advanced Economies
;1875;62,6;29,3;7,7;0,4;2,44;2,23;0,2;0,01;24539;Advanced Economies
;1880;59,6;31,4;8,5;0,4;2,67;2,43;0,22;0,01;27025;Advanced Economies
;1885;56,6;33,7;9,1;0,5;2,89;2,63;0,24;0,01;26955;Advanced Economies
;1890;53,6;36,2;9,6;0,6;3,1;2,83;0,26;0,02;29533;Advanced Economies
;1895;50,7;38,7;10;0,7;3,31;3,02;0,27;0,02;30236;Advanced Economies
;1900;48,4;40,6;10,2;0,8;3,48;3,17;0,29;0,02;34001;Advanced Economies
;1905;46,8;41,9;10,4;0,9;3,62;3,29;0,3;0,02;35550;Advanced Economies
;1910;45,4;42,9;10,7;1;3,74;3,4;0,31;0,03;39552;Advanced Economies
;1915;36;51;11,7;1,2;4,42;4,03;0,35;0,03;42021;Advanced Economies
;1920;27,3;58;13,1;1,6;5,07;4,62;0,41;0,04;40176;Advanced Economies
;1925;21,5;62,2;14,5;1,8;5,55;5,04;0,46;0,05;42772;Advanced Economies
;1930;19,3;68,2;10,8;1,7;5,57;5,16;0,36;0,05;44664;Advanced Economies
;1935;15,6;70,2;12,2;2;5,94;5,47;0,42;0,06;44933;Advanced Economies
;1940;12,8;71,7;13,2;2,2;6,24;5,72;0,46;0,07;47769;Advanced Economies
;1945;9,7;73,1;14,9;2,3;6,56;5,97;0,51;0,07;42755;Advanced Economies
;1950;5,7;71,4;20,1;2,8;7,21;6,47;0,64;0,09;45877;Advanced Economies
;1955;3;73,2;20,9;2,9;7,47;6,7;0,68;0,09;47903;Advanced Economies
;1960;2,9;72,7;21,2;3,1;7,54;6,72;0,72;0,1;48936;Advanced Economies
;1965;2,9;72,8;21,1;3,2;7,5;6,55;0,85;0,1;49092;Advanced Economies
;1970;5,6;71,6;19,9;2,9;7,1;6,14;0,87;0,1;49316;Advanced Economies
;1975;6,2;68,9;19,4;5,6;7,17;5,71;1,28;0,18;50069;Advanced Economies
;1980;6,5;63,2;23;7,2;7,36;5,37;1,75;0,24;51604;Advanced Economies
;1985;5,6;57,7;28;8,7;7,73;5,13;2,32;0,29;53932;Advanced Economies
;1990;5,2;42,1;39,3;13,4;8,96;4,91;3,61;0,43;54776;Advanced Economies
;1995;5;29,9;48,3;16,9;9,93;4,67;4,71;0,55;55761;Advanced Economies
;2000;4;23,2;53,9;18,9;10,59;4,46;5,51;0,63;56007;Advanced Economies
;2005;3,5;6,1;71;19,4;11,98;4,19;7,14;0,64;55339;Advanced Economies
;2010;1,7;4,5;71,4;22,4;12,58;3,92;7,92;0,74;54741;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Greece;1870;82,7;16,3;0,9;0,2;0,78;0,73;0,05;0,01;822;Advanced Economies
;1875;80,4;18,4;1,1;0,3;0,89;0,83;0,05;0,01;893;Advanced Economies
;1880;77,7;20,9;1,3;0,3;1,02;0,95;0,06;0,01;963;Advanced Economies
;1885;74,9;23,5;1,4;0,3;1,14;1,07;0,06;0,01;1194;Advanced Economies
;1890;72,3;26,1;1,4;0,3;1,26;1,19;0,07;0,01;1252;Advanced Economies
;1895;70,3;28;1,5;0,3;1,37;1,29;0,07;0,01;1374;Advanced Economies
;1900;66,3;30,4;2,8;0,5;1,64;1,49;0,13;0,02;1437;Advanced Economies
;1905;63,9;32;3,5;0,6;1,8;1,62;0,16;0,02;1492;Advanced Economies
;1910;59,9;35,4;4,3;0,5;2,03;1,83;0,19;0,02;1515;Advanced Economies
;1915;56,6;37,3;5,7;0,6;2,29;2,02;0,25;0,02;2836;Advanced Economies
;1920;55,2;37,8;6,4;0,7;2,42;2,11;0,29;0,02;3011;Advanced Economies
;1925;54,4;36,3;8,5;0,9;2,61;2,19;0,39;0,03;3657;Advanced Economies
;1930;48,7;40,8;9,4;1,1;2,98;2,5;0,45;0,04;3831;Advanced Economies
;1935;39;49,4;10,2;1,4;3,56;3;0,51;0,05;4188;Advanced Economies
;1940;32,7;55,2;10,5;1,5;3,94;3,34;0,55;0,06;4456;Advanced Economies
;1945;27;59,3;12,2;1,5;4,36;3,67;0,64;0,06;4645;Advanced Economies
;1950;22,7;59,8;15,9;1,6;4,39;3,49;0,84;0,06;4884;Advanced Economies
;1955;16,5;51;30,8;1,7;5,79;4,14;1,58;0,06;5264;Advanced Economies
;1960;9,8;33,2;54,8;2,2;7,78;4,9;2,79;0,08;5437;Advanced Economies
;1965;11,5;49,8;35,7;3;6,68;4,67;1,91;0,1;5617;Advanced Economies
;1970;10,4;52,4;32,3;5;6,84;4,8;1,87;0,16;5625;Advanced Economies
;1975;7,7;55,3;29,8;7,2;7,15;5,04;1,87;0,24;5780;Advanced Economies
;1980;5,1;56,6;28,4;9,8;7,58;5,3;1,94;0,33;6176;Advanced Economies
;1985;5,1;48,3;35;11,6;8,37;5,42;2,54;0,42;6498;Advanced Economies
;1990;4,1;40,2;41,8;13,9;9,34;5,56;3,24;0,54;6816;Advanced Economies
;1995;5,4;31,9;46,7;16;9,54;5,57;3,35;0,62;7248;Advanced Economies
;2000;4,6;27,1;52,6;15,7;9,9;5,67;3,62;0,61;7463;Advanced Economies
;2005;0,7;24,5;49,4;25,4;10,95;5,93;4,03;0,98;7507;Advanced Economies
;2010;0,7;20,6;49,1;29,6;11,36;5,94;4,28;1,15;7593;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Iceland;1870;80,2;19,4;0,4;0;0,85;0,83;0,02;0;44;Advanced Economies
;1875;78,3;21,2;0,5;0;0,91;0,89;0,02;0;44;Advanced Economies
;1880;76,4;23;0,6;0;1,01;0,98;0,02;0;45;Advanced Economies
;1885;74,3;25;0,8;0;1,11;1,08;0,03;0;45;Advanced Economies
;1890;72;27;0,9;0;1,22;1,18;0,04;0;46;Advanced Economies
;1895;69,7;29,1;1,2;0;1,34;1,29;0,05;0;46;Advanced Economies
;1900;67,3;31,2;1,5;0,1;1,47;1,41;0,06;0;47;Advanced Economies
;1905;56,5;41,5;1,9;0,2;1,99;1,91;0,08;0;47;Advanced Economies
;1910;47,4;50;2,3;0,3;2,44;2,33;0,11;0,01;48;Advanced Economies
;1915;39,3;57,5;2,7;0,4;2,85;2,71;0,13;0,01;54;Advanced Economies
;1920;37,8;58,7;2,7;0,7;2,98;2,8;0,15;0,02;60;Advanced Economies
;1925;30,7;65;3,3;1;3,38;3,17;0,19;0,03;65;Advanced Economies
;1930;24,2;70,8;3,8;1,3;3,78;3,52;0,23;0,04;70;Advanced Economies
;1935;17,1;76,7;4,6;1,5;4,24;3,91;0,28;0,04;75;Advanced Economies
;1940;10;82,4;5,7;1,9;4,73;4,32;0,35;0,06;80;Advanced Economies
;1945;3,5;87,7;6,4;2,3;5,17;4,69;0,41;0,07;84;Advanced Economies
;1950;1;85,4;10,7;3;5,8;5;0,7;0,09;88;Advanced Economies
;1955;0,9;83,3;12,3;3,5;5,99;5,05;0,82;0,11;94;Advanced Economies
;1960;0,8;79,1;16,1;4,1;6,29;5,12;1,05;0,13;101;Advanced Economies
;1965;0,6;73,4;21,4;4,6;6,73;5,26;1,33;0,15;110;Advanced Economies
;1970;0,7;66,7;27,2;5,5;7,24;5,38;1,68;0,17;118;Advanced Economies
;1975;1,1;60,6;31,2;7,1;7,71;5,43;2,05;0,22;132;Advanced Economies
;1980;1,2;54,7;34,8;9,3;8,2;5,5;2,41;0,29;143;Advanced Economies
;1985;1,3;48,5;38,7;11,5;8,71;5,56;2,79;0,36;153;Advanced Economies
;1990;1,4;43,2;41,7;13,7;9,23;5,61;3,18;0,43;164;Advanced Economies
;1995;1,4;38,5;43,3;16,8;9,7;5,67;3,51;0,53;172;Advanced Economies
;2000;1,4;35;42,8;20,8;10,17;5,7;3,81;0,66;182;Advanced Economies
;2005;1,7;28;43,3;27;10,83;5,72;4,26;0,85;197;Advanced Economies
;2010;1,7;24;39,8;34,4;11,52;5,86;4,58;1,09;206;Advanced Economies
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Ireland;1870;81,9;17,9;0,1;0;0,74;0,73;0,01;0;3169;Advanced Economies
